split	index	filename
train_split1.txt	23	2025-01-11-13-59-43
train_split1.txt	24	2025-01-10-15-59-54
train_split1.txt	25	2025-01-09-19-06-44
train_split1.txt	26	2025-01-10-17-19-03
train_split1.txt	27	2025-01-09-14-28-47
train_split1.txt	28	2025-01-09-16-55-42
train_split1.txt	29	2025-01-10-17-36-05
train_split1.txt	30	2025-01-13-11-01-25
train_split1.txt	31	2025-01-11-14-40-46
train_split1.txt	32	2025-01-14-11-28-33
train_split1.txt	33	2025-01-09-13-59-54
train_split1.txt	34	2025-01-10-18-31-44
train_split1.txt	35	2025-01-10-16-47-15
train_split1.txt	36	2025-01-13-11-23-17
train_split1.txt	37	2025-01-13-18-06-08
train_split1.txt	38	2025-01-13-18-16-38
train_split1.txt	39	2025-01-10-16-29-00
train_split1.txt	40	2025-01-10-18-12-06
train_split1.txt	41	2025-01-14-10-54-26
train_split1.txt	42	2025-01-11-11-29-58
train_split1.txt	43	2025-01-13-19-19-46
train_split1.txt	44	2025-01-10-15-40-55
train_split1.txt	45	2025-01-10-15-49-06
train_split1.txt	46	2025-01-13-16-06-01
train_split1.txt	47	2025-01-09-19-14-15
train_split1.txt	48	2025-01-13-15-18-12
train_split1.txt	49	2025-01-11-15-35-08
train_split1.txt	50	2025-01-13-18-25-52
train_split1.txt	51	2025-01-14-10-49-57
train_split1.txt	52	2025-01-09-19-24-18
train_split1.txt	53	2025-01-11-14-09-00
train_split1.txt	54	2025-01-13-19-04-46
train_split1.txt	55	2025-01-13-15-58-56
train_split1.txt	56	2025-01-09-17-03-05
train_split1.txt	57	2025-01-10-17-25-29
train_split1.txt	58	2025-01-09-19-15-33
train_split1.txt	59	2025-01-09-14-57-02
train_split1.txt	60	2025-01-13-11-44-13
train_split1.txt	61	2025-01-14-11-45-36
train_split1.txt	62	2025-01-13-15-11-07
train_split1.txt	63	2025-01-09-18-18-47
train_split1.txt	64	2025-01-09-15-30-21
train_split1.txt	65	2025-01-14-11-06-43
train_split1.txt	66	2025-01-13-14-57-37
train_split1.txt	67	2025-01-13-15-06-09
train_split1.txt	68	2025-01-10-15-28-50
train_split1.txt	69	2025-01-09-17-40-57
train_split1.txt	70	2025-01-09-15-46-39
train_split1.txt	71	2025-01-11-11-35-53
train_split1.txt	72	2025-01-11-11-59-40
train_split1.txt	73	2025-01-11-14-45-48
train_split1.txt	74	2025-01-09-18-44-37
train_split1.txt	75	2025-01-09-15-02-21
train_split1.txt	76	2025-01-09-14-40-21
train_split1.txt	77	2025-01-11-14-22-09
train_split1.txt	78	2025-01-14-11-36-55
train_split1.txt	79	2025-01-13-17-40-45
train_split1.txt	80	2025-01-14-11-19-51
train_split1.txt	81	2025-01-11-11-12-32
train_split1.txt	82	2025-01-11-11-55-48
train_split1.txt	83	2025-01-13-16-57-41
train_split1.txt	84	2025-01-10-18-41-18
train_split1.txt	85	2025-01-13-15-50-28
train_split1.txt	86	2025-01-14-11-50-46
train_split1.txt	87	2025-01-13-17-51-11
train_split1.txt	88	2025-01-11-15-02-03
train_split1.txt	89	2025-01-13-17-34-32
train_split1.txt	90	2025-01-09-15-18-29
train_split1.txt	91	2025-01-09-16-44-57
train_split1.txt	92	2025-01-11-11-21-44
train_split1.txt	93	2025-01-09-15-27-49
train_split1.txt	94	2025-01-09-18-52-39
train_split1.txt	95	2025-01-13-16-14-09
train_split1.txt	96	2025-01-09-15-37-27
train_split1.txt	97	2025-01-11-13-46-54
train_split1.txt	98	2025-01-10-17-54-09
train_split1.txt	99	2025-01-13-11-31-57
train_split1.txt	100	2025-01-14-10-34-43
train_split1.txt	101	2025-01-09-15-49-10
train_split1.txt	102	2025-01-11-15-10-57
train_split1.txt	103	2025-01-14-11-30-33
train_split1.txt	104	2025-01-13-11-16-17
train_split1.txt	105	2025-01-10-18-03-36
train_split1.txt	106	2025-01-13-16-19-55
train_split1.txt	107	2025-01-11-13-42-45
train_split1.txt	108	2025-01-11-11-51-20
train_split1.txt	109	2025-01-14-12-05-01
train_split1.txt	110	2025-01-11-14-14-43
